Sample,Year,Area,Easting,Northing,Temperature,pH,O2,HCO3-,Fe+2,HS-,SiO2,Li+,Na+,NH4+,K+,Mg+2,Ca+2,F-,Cl-,NO2-,Br-,NO3-,SO4-2,HPO4-2,H2,CH4,CO
130717TN,2013.0,Shoshone Geyser Basin,515867.16,4911168.35,87.4,7.345,1.371875e-05,0.0066697417,1.611459265890779e-06,1.3496860512880698e-06,0.0058838215712383,0.0002335326321855,0.0140994370147868,1.0903547671840354e-05,0.0003871600555522,BDL,8.488946554219272e-06,0.0010501526315789,0.0049335796897038,2.5866753613737644e-08,6.675760913095716e-06,4.752850177969806e-07,0.0004504157297522,1.388417986888684e-06,NM,2.988492675834499e-07,NM
130717TP,2013.0,Shoshone Geyser Basin,515983.03,4911234.39,71.2,6.885,1.7749999999999998e-05,0.00700264285,1.074306177260519e-06,2.6113490992312656e-06,0.0020805592543275,0.0002238697594006,0.0133091412677236,1.0190317812269032e-05,0.0003643373241291,4.883768771857642e-07,1.0896377064723788e-05,0.0009977280701754,0.0045980629995298,BDL,6.364199539447338e-06,1.670835692017889e-07,0.0004245089527378,8.016097477766991e-07,NM,6.891375543502723e-07,NM
130717TQ,2013.0,Shoshone Geyser Basin,516427.53,4911320.07,90.6,2.445,1.18125e-05,4.27175e-06,0.0001145926589077,4.107740156094126e-07,0.0078645139813581,2.9167987321711567e-05,0.0029581984925555,0.0001277549889135,0.000821398500702,1.7505040115202632e-05,8.48967014322072e-05,0.0001114128947368,0.0018425262341325,BDL,2.3821085302362835e-06,3.257807044281984e-07,0.0044386893608161,3.854844721674104e-07,NM,1.013650974249817e-08,NM
130717TR,2013.0,Shoshone Geyser Basin,516361.25,4911274.01,88.2,2.538,1.115625e-05,2.1980708333333333e-05,8.504923903312444e-05,2.670031101461182e-06,0.0071321571238348,3.263506699322864e-05,0.0030673453047744,6.651524390243903e-05,0.0006395981410956,1.0606459576218884e-05,5.88225460352313e-05,0.0001792868421052,0.0019690847672778,BDL,2.595301862234682e-06,5.228619028496136e-07,0.0039246876951905,7.322204368894213e-07,NM,8.628680474228991e-09,1.2262890022937476e-07
130717TS,2013.0,Shoshone Geyser Basin,516366.54,4911263.11,26.3,2.417,0.0002375,1.0845041666666669e-05,7.162041181736795e-06,3.227510122645385e-07,0.0081724367509986,5.408802766172022e-05,0.0049989367009298,0.0001567294900221,0.0011309773059186,1.9601728039498043e-05,8.965754279155645e-05,0.0001925278947368,0.0023415196050775,3.3148570807520915e-08,3.0329520424509416e-06,2.7389770808436108e-06,0.0044579693247276,9.316488964046018e-07,NM,8.280813620786536e-09,1.395070693230347e-07
130718SP,2013.0,Washburn Springs,545157.0,4957177.0,57.9,2.676,9.375e-05,1.6768541666666666e-05,0.0002399283795881,6.8071122586702654e-06,0.0062999334221038,7.323632521730779e-07,0.0011350338781858,0.0290988440046353,0.0001147578027689,0.0007264811767126,0.0007159239483008,1.1758771929824562e-05,3.7748942172073335e-06,BDL,BDL,BDL,0.021247248247623,2.942991258420957e-07,NM,NM,NM
130718SQ,2013.0,Washburn Springs,545086.0,4956963.0,71.3,6.235,9.0625e-07,0.0020321641458333,4.834377797672336e-06,9.154392347866908e-05,0.0026215046604527,8.831580463910099e-07,0.0011894662795437,0.0248688244872505,0.0002845196594225,0.0005232585887677,0.0006993626178951,2.118263157894737e-05,9.846614950634695e-06,BDL,BDL,BDL,0.0135019941963356,BDL,NM,6.560756756467972e-06,1.820989326288243e-07
130718SR,2013.0,Washburn Springs,545080.15,4956995.75,67.5,6.176,NM,0.0054199687916666,BDL,4.142949357432075e-05,1.4980026631158456e-05,5.388272583201268e-07,0.0011705828797148,0.02663843720287,0.0002679177867068,0.0005863026126311,0.0007569868755925,2.085394736842105e-05,1.2055853314527502e-05,3.477882838821867e-08,BDL,BDL,0.0127438410889027,3.288358389999515e-07,NM,3.826759212399652e-06,1.3708280858236628e-07
130718SS,2013.0,Washburn Springs,545103.24,4956979.97,75.3,5.773,NM,0.0043402949791666,BDL,0.0001933571973475,BDL,3.2632185564039765e-07,0.0013738628691745,0.0393981337767923,0.0005278725673494,0.000578693684427,0.0009454663406357,1.736842105263158e-05,1.1057827926657265e-05,BDL,BDL,BDL,0.0182721944617947,BDL,NM,4.27797220601017e-06,1.7690161991899837e-07
130718ST,2013.0,Washburn Springs,545086.43,4956977.47,86.5,6.3,4.3750000000000005e-06,0.0014540593333333,BDL,1.8484830702423568e-05,0.0057007323568575,1.1994669356000578e-05,0.0018029759237685,0.0165072928215077,0.0004823760879629,3.22567372968525e-05,0.0003592160287439,4.759578947368421e-05,1.2054830747531732e-05,BDL,BDL,BDL,0.0091404135436185,5.116277110793355e-07,NM,1.7754903652832638e-06,2.3265843461608426e-07
130720SA,2013.0,Calcite Springs,547665.52,4972991.93,93.8,8.01,3.75e-06,0.0011477278291666,1.074306177260519e-06,0.0003396220879056,0.0052013981358189,0.0002996614320703,0.0087027146727746,0.0010678159645232,0.0023462192729607,4.710923678255503e-05,0.0002588548580268,0.0002324339473684,0.006514186177715,1.0933594174546245e-07,1.0828681918301962e-05,BDL,0.001613422860712,BDL,NM,2.542743568480833e-09,2.037822135356695e-07
130720SW,2013.0,Calcite Springs,547700.14,4972969.26,89.6,8.209,6.25e-07,0.00132661275,5.371530886302596e-06,0.0003212839622087,0.0054760319573901,0.0003096880852903,0.0089202549186118,0.0009108037694013,0.0024274327784072,0.0001384517588973,0.0003238664604022,0.0002224997368421,0.0065685105782792,5.640691229214216e-08,1.1093124249098918e-05,2.2418389514377087e-06,0.001610427857589,BDL,NM,BDL,2.0464971873214003e-07
130720SX,2013.0,Calcite Springs,547704.71,4972964.76,75.3,7.132,BDL,0.0012938725833333,2.6857654431512977e-06,0.0001716448565225,0.0041611185086551,0.0003003075925659,0.0087840247546636,0.0012780210643015,0.0023768630605422,0.0003974665706644,0.0010800432905833,0.000231797368421,0.0062066939351198,8.901206390609718e-08,1.0447787344813777e-05,BDL,0.0034133374973974,BDL,NM,3.832047157666739e-09,2.761614779440417e-07
130720SY,2013.0,Calcite Springs,547737.14,4972947.26,87.2,4.683,5.59375e-06,0.0002158256848944,7.878245299910475e-06,3.3008626254327794e-05,0.0048685086551264,0.000253044229938,0.0080184378973098,0.0067073343957871,0.002135594770105,0.0005030822875951,0.001175904361495,0.0001449734210526,0.0059380333215796,3.1626997065536354e-08,1.009905636764117e-05,BDL,0.0072353037814907,BDL,NM,1.5999388297758635e-09,3.372578387746397e-07
130721SE,2013.0,Sylvan Springs,518440.07,4949577.98,78.6,5.524,1.325e-05,0.0023210464166666,0.0001253357206803,6.89513526201514e-06,0.0078561917443408,0.0007943192623541,0.0183337803437694,0.0001025065825942,0.0006119131778107,3.198930261263114e-07,0.0001507451719147,0.0008704687499999,0.0147895186882933,1.6259102271492228e-07,1.99483755506608e-05,BDL,0.0013830711274203,BDL,NM,9.300982280836183e-09,NM
130721SG,2013.0,Sylvan Springs,518350.0,4949524.0,78.9,5.401,1.609375e-05,0.0030874783333333,7.162041181736796e-07,1.2029810457132798e-05,0.0101198402130492,0.0008337559429477,0.0176575352388273,9.573343957871398e-05,0.0010859203597087,3.291503805801276e-07,0.0001148099955087,0.0009476809210526,0.0153776754231311,5.521139006629713e-08,2.0720614737685227e-05,BDL,0.0020804526467832,BDL,NM,4.4619359478112364e-10,NM
130721SH,2013.0,Sylvan Springs,518443.63,4949602.38,45.0,7.873,7.5e-05,0.0008967133958333,1.790510295434199e-07,3.227510122645385e-07,0.0062333555259653,0.0007814407145944,0.0166178994664974,3.372782705099778e-05,0.0007070309962325,1.9088664883768776e-06,0.0001552375368032,0.0009286263157894,0.0159643046544428,7.562221497663298e-07,2.1302625650780936e-05,1.215008813819553e-05,0.001648127212159,3.594450539846733e-06,NM,7.88045035535095e-08,NM
130721SI,2013.0,Sylvan Springs,518478.81,4949604.35,87.1,2.182,1.875e-05,0.0001433001666666,4.744852282900627e-05,1.0562760401384891e-06,0.0050266311584553,0.0001567274167987,0.0046631340662883,0.0004249844096452,0.0004683995212068,1.7866488376877186e-05,5.697103148859724e-05,5.614368421052632e-05,0.002369023977433,BDL,3.462530036043252e-06,BDL,0.0070382048199042,BDL,NM,3.78317029243136e-07,NM
130721TC,2013.0,GOPA,544478.91,4939776.12,41.5,4.03,7.8125e-05,1.0110791666666668e-05,3.401969561324977e-06,5.281380200692447e-07,0.0077063914780292,0.0004222208615473,0.014052703182881,1.5205099778270513e-05,0.0007930522554689,8.907837893437565e-06,0.0001747524826588,0.0007003157894736,0.0090286346967559,BDL,1.2475783440128154e-05,BDL,0.0024226535498646,1.2257374325323204e-06,NM,1.2218147057298757e-07,NM
130721TD,2013.0,GOPA,544478.91,4939776.12,46.4,4.14,4.6875e-05,3.742516666666667e-05,2.148612354521038e-06,4.107740156094126e-07,0.0094041278295605,0.0004447269845843,0.0172284680198396,1.9390243902439023e-05,0.0010199287437049,9.385517383254475e-06,0.0001955238534857,0.0009606263157894,0.0110454818053596,BDL,1.5798520724869843e-05,2.260305233941189e-07,0.0034929537268373,BDL,NM,6.4566006331264e-08,NM
130721TE,2013.0,GOPA,544478.91,4939776.12,44.2,4.14,5.9375e-05,4.404304166666666e-05,1.969561324977619e-06,5.281380200692447e-07,0.0082723035952063,0.0004924232819478,0.01952520640812,2.707317073170732e-05,0.0011256676121468,1.0394774737708292e-05,0.0001901080393233,0.0009603315789473,0.0131628913963328,BDL,1.759198538245895e-05,6.808332889819999e-07,0.0035401145117634,1.5877937989752706e-06,NM,6.244243528094006e-08,NM
130721TF,2013.0,GOPA,544498.85,4939802.32,37.2,6.343,0.0001281249999999,0.0020186675666666,7.162041181736796e-07,1.6430960624376504e-06,0.0069573901464713,8.081544446045239e-05,0.0048524271818477,2.4467849223946786e-06,0.0008708084494722,0.0001093735856819,0.0002333144118968,0.0003877852631578,0.0024767459802538,2.8257798065427663e-08,3.069370744893873e-06,1.8319519908910424e-06,0.0011380295648552,1.22463183653184e-06,NM,3.849439484846691e-06,NM
130721TG,2013.0,GOPA,544478.91,4939776.12,54.0,4.344,2.8125e-05,0.0001912560416666,1.4324082363473592e-06,5.868200222991609e-07,0.0079643808255659,0.0004842580319838,0.0188313723378429,1.848115299334812e-05,0.0010832042569625,8.53733799629706e-06,0.0002096889814861,0.000956647368421,0.0131592665726375,BDL,1.744286894273128e-05,BDL,0.0034970008328128,1.7267303630356089e-06,NM,1.0417035786966705e-07,NM
130721TH,2013.0,GOPA,544478.91,4939776.12,60.3,4.457,4.0625e-05,0.0010551644166666,1.4324082363473592e-06,7.04184026758993e-07,0.007082223701731,0.0004835391154012,0.0188945297797468,8.99390243902439e-06,0.0010770519434348,6.703764657477884e-06,0.0002065179150656,0.000945572368421,0.0136997425952045,BDL,1.8744368241890267e-05,2.2183730640642925e-07,0.0034507495315427,1.4766550772127183e-06,NM,2.130549111723951e-07,NM
130721TI,2013.0,GOPA,544545.66,4939787.78,34.0,4.175,6.25e-05,0.0032023842499999,1.2712623097582807e-05,1.0562760401384891e-06,0.0049850199733688,6.176631609278203e-05,0.0041295195267077,2.4722838137472284e-06,0.0006113906486982,0.0004334283069327,0.0005844096511801,0.000420662368421,0.001591271932299,BDL,1.960540148177813e-06,2.0949957180803454e-07,0.0024789126587549,4.0296341846071553e-07,NM,2.618097879818048e-07,NM
130722SK,2013.0,Sentinel Meadows,510707.73,4935151.23,64.2,8.325,3.75e-05,0.00539009075,BDL,3.520920133794965e-07,0.0061917443408788,0.0003263902895836,0.0133092318877439,4.896526237989653e-06,0.0003151372310305,BDL,1.290321373322022e-05,0.0012898596491228,0.0063301574988246,5.198348005651559e-07,9.187149579495397e-06,1.9417820204532224e-07,0.0001788618571726,6.941036985871536e-07,NM,4.862986636922063e-08,NM
130722SL,2013.0,Sentinel Meadows,510707.73,4935151.23,65.2,8.222,2.5e-05,0.0054775180833333,1.790510295434199e-07,5.868200222991609e-07,0.0061418109187749,0.0002959443884166,0.0117205396887632,2.4271064301552106e-06,0.0002793695633825,2.869574161695125e-06,1.6632192225160935e-05,0.0012984078947368,0.0063662646920545,2.498641452016085e-07,8.988285943131758e-06,BDL,0.0001775486674994,5.809643745380188e-07,NM,2.7061529308797453e-07,NM
130722SN,2013.0,Sentinel Meadows,510707.73,4935151.23,77.3,7.986,2.1875e-05,0.0055439011666666,BDL,2.2299160847368114e-06,0.0056924101198402,0.0003298537674686,0.0130602008223745,9.39116777531412e-06,0.0003089833829092,1.9031063567167248e-06,1.349481012026548e-05,0.0011775219298245,0.00544682651622,2.671448755570047e-07,8.183132258710451e-06,2.583666774722643e-07,0.0001528623256298,4.668773967741868e-07,NM,8.701214169847523e-08,NM
130722SO,2013.0,Sentinel Meadows,510707.73,4935151.23,88.7,7.529,7.15625e-06,0.0056152758333333,BDL,5.9855642274514405e-06,0.0060752330226364,0.0003010697305863,0.0123117461510813,6.247228381374723e-06,0.0002982023515088,BDL,9.968311792005588e-06,0.0010169368421052,0.0039839118476727,1.5574394087599172e-07,5.818294453344013e-06,BDL,0.0001311230480949,BDL,NM,8.83183106504722e-07,NM
130722SP,2013.0,Sentinel Meadows,510836.0,4935026.0,76.7,8.4,2.278125e-05,0.0047132254166666,1.074306177260519e-06,8.039434305498505e-06,0.0054260985352862,0.0002740599337271,0.0128628594165807,4.180524759793053e-06,0.0002445414506513,BDL,1.1031239083786616e-05,0.0012272280701754,0.0050498160789844,2.711661775893925e-07,7.195009010812976e-06,BDL,0.0001272194461794,4.2286414646935813e-07,NM,1.0629117274794937e-07,NM
130722TK,2013.0,Rabbit Creek,515147.27,4928541.31,86.0,3.78,0.000115625,1.257745079305417e-07,1.074306177260519e-06,5.134675195117657e-06,0.0030126498002663,1.1568938193343898e-06,0.0002138492561625,0.0002316080931263,0.0001352864446791,4.539806624151408e-06,2.2685138978990968e-05,2.297078947368421e-05,6.750634696755994e-06,BDL,BDL,7.211526830944007e-07,0.0003721567770143,3.507371692951773e-07,NM,1.4377491008771364e-07,NM
130722TL,2013.0,Rabbit Creek,515136.96,4928594.99,54.4,4.13,4.375e-05,0.0010201180583333,3.2229185317815574e-06,2.934100111495804e-07,0.0045522636484687,3.4317821639533213e-06,0.0007404217502141,1.0372782705099776e-05,0.0004615997370729,1.3471507920181033e-05,6.992115375018713e-05,6.807236842105264e-05,2.76703808180536e-05,BDL,BDL,4.364171218726263e-07,0.0006912784197376,1.2982855891352554e-07,NM,2.2579066971430622e-06,NM
130722TM,2013.0,Rabbit Creek,515138.4,4928593.41,63.4,3.69,4.375e-05,0.0003016290799222,3.2229185317815574e-06,5.868200222991609e-07,0.0040612516644474,2.758968448350382e-06,0.0005461947007819,0.0001657181263858,0.0004129716637296,2.260234519646164e-05,9.45139478017865e-05,3.486789473684211e-05,1.6180394922425953e-05,BDL,BDL,3.04411425548626e-07,0.0007949230168644,4.0912316760624774e-07,NM,1.823921229255561e-06,NM
130722TN,2013.0,Rabbit Creek,515150.61,4928514.81,63.4,5.68,9.375e-06,0.0016669133208333,1.7905102954341989e-06,3.462238131565049e-06,0.0052263648468708,1.9759400662728715e-06,0.0010200415671858,2.294807834441981e-05,0.0002688145008862,2.8191730096687925e-06,1.3421827436498829e-05,0.000151187368421,2.298166431593793e-05,8.077382893163786e-07,BDL,1.6494664131383163e-06,0.0003129916718717,2.149910394076533e-06,NM,7.334447982816792e-05,NM
130722TO,2013.0,Rabbit Creek,515127.25,4928565.81,48.7,4.305,8.75e-05,0.0005952144458333,7.162041181736796e-07,9.682530367936157e-07,0.0057340213049267,4.6160495605820486e-06,0.0006632841765395,2.2508314855875832e-06,0.000312076995675,7.26640608928204e-06,3.989932132341933e-05,6.003763157894737e-05,1.4427644569816644e-05,BDL,BDL,3.042501479721764e-07,0.0005291174266083,BDL,NM,1.6313497937579838e-07,NM
130722TP,2013.0,Rabbit Creek,515149.07,4928521.8,51.9,4.955,9.375e-05,0.0021955551083333,1.969561324977619e-06,1.49639105686286e-06,0.0051264980026631,1.3326609998559283e-06,0.0006581151380859,2.8306541019955654e-06,0.0002838274298371,7.328327504628677e-06,3.387007834722291e-05,8.94742105263158e-05,2.1123554301833567e-05,BDL,BDL,4.264179121327508e-07,0.0003656552154903,1.39620980632064e-07,NM,5.171308823739976e-06,NM
130722TR,2013.0,Rabbit Creek,515178.0,4928389.0,83.3,3.57,1.875e-05,0.0001013296666666,1.2533572068039392e-06,2.523326095886391e-06,0.005500998668442,7.597608413773231e-06,0.0012721511033886,0.0001499057649667,0.0005056935979313,3.478913803744086e-06,4.2022680772493626e-05,0.0001632755263157,2.685952045133992e-05,2.2932289968481682e-08,BDL,6.761562392649614e-07,0.0010973951696856,1.6189084292744977e-07,NM,2.248937950414079e-07,NM
130722TS,2013.0,Rabbit Creek,515146.36,4928620.14,52.1,3.45,4.0625e-05,0.0004212054999999,5.013428827215757e-06,3.814330144944545e-07,0.0044024633821571,4.683763146520674e-06,0.0005305775364685,2.5110864745011087e-05,0.000453894159081,2.5886237399711992e-05,0.000108924472279,5.176947368421052e-05,1.1017630465444287e-05,BDL,BDL,5.637457684795879e-07,0.0008224881324172,7.607026957589337e-07,NM,3.099321144767576e-07,NM
130723ST,2013.0,Norris Geyser Basin,523029.6,4953368.93,78.3,3.066,1.5625e-05,1.3504066666666668e-05,3.294538943598926e-05,2.640690100346224e-07,0.0056591211717709,0.0004555186572539,0.0101694801718103,0.0001564509423503,0.0016508105211735,1.0626208599053691e-05,9.483881431209142e-05,0.000129055,0.0091362905500705,BDL,1.3719150480576691e-05,4.5706065165817533e-07,0.0021345786487611,BDL,NM,NM,NM
130723SU,2013.0,Norris Geyser Basin,523029.6,4953368.93,81.7,3.103,1.921875e-05,2.3659500473243e-05,BDL,4.987970189542867e-07,BDL,0.0004036788647168,0.0081373316539196,0.0001519539911308,0.0011753339659269,8.734211067681546e-06,6.585308648136135e-05,0.0001150755263157,0.0081189245416078,BDL,1.23491314577493e-05,4.760107668910038e-07,0.0020504151051426,BDL,NM,3.2911843728992496e-06,NM
130723SW,2013.0,Norris Geyser Basin,523050.37,4953337.36,61.4,3.558,2.8125e-05,0.0001729665416666,BDL,2.1125520802769782e-06,BDL,0.0005539828554963,0.0107568109971004,8.343680709534367e-05,0.0014486556960277,8.462044846739354e-06,8.05822396327162e-05,0.0001972781578947,0.011138531593794,5.2168242582328016e-08,1.6206948338005608e-05,1.9633125769092443e-06,0.0011296762440141,1.0971724119050577e-07,NM,NM,NM
130723SX,2013.0,Norris Geyser Basin,522985.15,4953359.77,89.4,3.05,1.228125e-05,0.000541681925,BDL,7.18854527316472e-06,BDL,0.0003977704941651,0.0083721802511369,0.0002440027716186,0.0014576780831903,1.4199958856202426e-05,6.728654124457306e-05,0.0001094184210526,0.0076216713681241,BDL,1.0724494393271926e-05,2.85300032739348e-07,0.0025636073808036,2.200662515241431e-07,NM,NM,NM
130723SZ,2013.0,Norris Geyser Basin,522887.57,4953201.57,81.7,3.022,1.440625e-05,0.0018395493333333,BDL,0.0001141364943371,BDL,0.0005249747874945,0.0105866820584408,9.404794900221732e-05,0.00128290705734,7.864431186998561e-06,0.000100725585109,0.0001444844736842,0.0109320486600846,BDL,1.5667300760913097e-05,3.935979253252566e-07,0.0015355975432021,2.7703076926316765e-07,NM,NM,NM
130723TB,2013.0,Amphitheater Springs,521446.1735,4960877.538,72.2,2.38,3.03125e-06,0.00176500725,6.589077887197852e-05,4.34246816501379e-05,0.0066577896138482,1.4662872784901312e-05,0.0019621336778112,0.0001807718957871,0.0006729002283986,8.270787903723514e-05,0.0001990862817505,2.948710526315789e-05,0.0001760346967559,BDL,2.2176611934321186e-07,6.372077045523823e-07,0.0062678992816989,5.858079379686937e-07,NM,NM,NM
130723TU,2013.0,Amphitheater Springs,521750.8488,4960246.489,35.7,3.5,9.375e-05,0.0057803388458333,6.195165622202327e-05,0.0001695909864444,0.0032539946737683,3.912260481198675e-06,0.0012189539616513,3.634811529933481e-05,0.0005544900929196,8.251203456078997e-05,0.000204830705125,9.087105263157894e-06,0.0001174146685472,3.2496467775241825e-08,1.5656287545054068e-07,2.094350607774547e-06,0.0014026984870567,6.237667339851787e-07,NM,NM,NM
130723TV,2013.0,Amphitheater Springs,521616.0087,4960388.352,61.2,6.786,2.1875e-05,0.0030181931666666,1.790510295434199e-07,1.5785458599847427e-05,0.0042110519307589,1.590548912260481e-06,0.00475597645196,2.706762749445677e-05,0.000129693362627,BDL,6.335395977843205e-06,0.0001482652631578,0.0004102899858956,BDL,5.120519623548258e-07,BDL,0.0009128897564022,1.265117709120851e-07,NM,NM,NM
